	STAGE	CLUSTER	MATCH N-1	ASSIGNED CELL TYPE/STATE	ENRICHED MARKERS
177	18 hpf	38	16h-32	epidermis	cldni, cfl1l, pfn1, ppp1r1b, tfap2c, dcn, ecrg4b, capn8, kera, tfap2a
178	18 hpf	39	16h-15	epidermis	spaca4l, cfd, scinla, rbp4, mmp30, cyp2aa6, tagln2, 
179	18 hpf	40	16h-31	mesoderm (head mesenchyme)	pitx3, tmem88a, foxc1a, lpar1, foxc1b, prrx1a, foxl1, foxf2a, meox1, tbbx1.1
180	18 hpf	41	16h-38	placode (adenohypophyseal)	fgf24, sp8a, dlx4b, fam26f, pvalb8, dlx5a, eya2, dmrt3a, dlx3b, dlx6a, emx3, fgf17
181	18 hpf	42	16h-27	midbrain	her5, her11, eng2a, eng2b, wnt8b, eng1b, ackr3a, rspo2, pax5, pax8, otx2, otx1b, pax2a
182	18 hpf	43	16h-45	neural crest	tfec, sox10, trpm1b, cax1, slc3a2a, gch2, mon1ba, gpr143, crestin
183	18 hpf	44	16h-48	placode (olfactory)	neurod1, ebf3a, insm1b, dlx3b, elavl3, neurod4, cldnh, emx3, ebf2, tua8l3, dlx4b
184	18 hpf	45	16h-16	placode (otic)	stm, cldna, oc90, agr2, efhd1, bricd5, otomp, pax2a
185	18 hpf	46	NA	diencephalon	dbx1a, shha, barhl1b, pitx3, pcbd1, barhl2, nkx2.4a, pitx2, nkx2.4b, lmx1bb, foxa1, foxa2, lhx5, foxb1a, barhl1a
186	18 hpf	47	16h-39	periderm	krt5, krt92, krt17, cyt1l, krt4, agr1, anxa1c, lye, capn9, eppk1, icn2, ovol1
187	18 hpf	48	16h-28	neural crest	pmp22a, ednrab, dlx2a, twist1a, hoxa3a, hoxb3a, prdm1a, nr2f2, ndrg3a, crestin, sox10
188	18 hpf	49	16h-51	neurons (ganglion)	neurod1, isl2b, tlx3b, scrt2, isl1, insm1b, neurod4, vim, elavl3, tuba8l3, dlb, ebf3a
189	18 hpf	50	NA	telencephalon (pallium, neuron)	eomesa, tbr1b, emx1, scrt2, nrn1a, neurod4, myt1b, srrm4, celf3a, celf3b, emx3, lhx9, dlb, elavl3
190	18 hpf	51	16h-53	rostral blood island (myeloid)	lmo2, tal1, etv2, tmem88a, sox7, egfl7, aplnrb, fli1b, dusp5, yrk, vsg1
191	18 hpf	52	16h-37	heart primordium	cmlc1, myl7, tnnt2a, ttn.2, tnni1b, vmhc, acta1b, fhl2a, smtnl1, ttn.1, tnnc1a, nexn.1, unc45b
192	18 hpf	53	NA	RPE	pmela, dct, mitfa, tfec, wnt2, bhlhe40, trpm1b, cx43, slc45a2, elovl4b, gsx2
193	18 hpf	54	16h-44	rostral blood island (myeloid)	cldn5b, etv2, clec14a, dusp5, sox7, she, cdh5, gpr182, kdrl, yrk, plk2b, ecscr, tpd52l1, dll4
194	18 hpf	55	16h-33	prechordal plate/polster	he1a, ctsl, ctsl.1, he1b
195	18 hpf	56	16h-42	blood precursors	blf, spi1b, cebpb, mmp13a, fn1a, txn, ncf1, ikzf1
196	18 hpf	57	16h-39	periderm	krt5, krt92, krt17, anxa1c, krt4, uox, tgm1l4, anxa3a, gna14, stx11b.1, dnah11, ftr86, s100v1, dbnla, cav2
197	18 hpf	58	NA	somite	vwde, rbp7b, angptl7, COMP, thbs4b, kazald2, fn1b, rprmb, meox1, tcf15, hoxa2b, hoxa3a, hoxb3a, hoxb5a
198	18 hpf	59	16h-52	epidermal ionocyte	foxi3a, atp1b1b, agrp, ca15a, foxi3b, gcm2, dmrt2a, sstr5, grhl1, mal2, ca2
199	20 hpf	0	18h-3	optic vesicle (ventral)	rx1, vsx2, six3b, pax6b, foxd1, nop10
200	20 hpf	1	18h-13/18/26	telencephalon	fezf1, sox1b, fezf2, foxg1a, gsx2, emx3, auts2b, lrig1, her2, six3b, cyp26c1.1, nr2e1, six3a, olig2, lhx5, lhx2b
201	20 hpf	2	NA	progenitors	her4.2.1, rrm2.1, her4.2, her2, her15.2, pcna, lig1, stmn1a, mcm5, mcm4
202	20 hpf	3	NA	progenitors	gfap, sox3, pcna, cdc6, her8a, mcm2, mcm3, mcm5
203	20 hpf	4	NA	progenitors	sox21a, foxb1a, gfap, aurka, dbx1b, setd8b, pif1, sox19a, top2a, mki67, dbx1a, her3
204	20 hpf	5	NA	progenitors (eye)	fabp7a, stmn1a, pcna, rrm2.1, chchd10
205	20 hpf	6	NA	progenitors (midbrain)	eng2b, pcna, fzd10, nop58, gfap, pax7a, eng2a
206	20 hpf	7	18h-6	ventral diencephalon	rx3, nkx2.4b, nkx2.4a, nkx2.1, sfrp5, shha, sst1.2, sox1b, nkx2.2b, fezf2, prdx1, olig2, nkx2.2a, six3a
207	20 hpf	8	NA	neurons, gabaergic, glutamatergic	sncb, ywhag2, elavl4, atp6v0cb, gap43, stmn2a, snap25a, scg2b, stx1b, stmn2b, id4, eno2, celf4, gad1b, gad2
208	20 hpf	9	NA	pectoral fin	ifitm1, rgs5a, hpdb, hgd, ttc36, fmoda, col6a1, prrx1b, ms4a17a.9, bhmt, lhx6, mxra8b, pmp22a, aspn, twist3, cald1b
209	20 hpf	10	18h-19	epidermis	cldni, cfl1l, pfn1, krt97, kera, ecrg4b, s100a10b, myh9a, tnw, spaca4l, col28a2a, tp63, ptgs2a, tfap2c
210	20 hpf	11	18h-11	comitted progenitors	gadd45gb.1, dld, dla, lrnn1, neurog1, her4.2, ebf2, dlb, her15.2, neurod4, ascl1a
211	20 hpf	12	NA	eye (cornea), cartilage	matn4, col2a1a, col9a3, lect1, col9a1a, col9a2, fmoda, fstl3, cthrc1a, epyc, wfdc2, col5a1, fibina, bhmt, tnmd
212	20 hpf	13	18h-15	pharyngeal arch (posterior)	hoxa3a, hoxb1b, hoxb3a, hoxb5a, hoxb5b, hoxb6a, hoxb6b, hoxb8a, hoxc1a, hoxc3a, hoxd4a, wnt11r, 
213	20 hpf	14	18h-23	neural crest	ednrab, dlx2a, grem2b, twist1a, mef2ca, sox10, tuba8l3, pmp22a, pdgfr, fam212aa, fli1a
214	20 hpf	15	18h-36/NA	neural crest (ectomesenchyme)	foxc1a, twist1a, colec12, tmem88b, six1a, npb, pmp22a, tnc, nid1b, cxcl12b, fibina, mfap2
215	20 hpf	16	18h-21	ventral midbrain	foxa, foxa2, nkx2.2b, foxa1, shha, nkx2.9, nkx6.2, nkx2.2a, phox2bb, barhl1a, nkx6.1
216	20 hpf	17	18h-20	placode (epibranchial)	cxcl12b, krt18, krt8, myl10, cd9b, epcam, cldnb, six1b, cldn7b, nid2a, foxi1, f11r.1, nkx2.7, irx7, cxcl12b
217	20 hpf	18	18h-NA	radial glia	glula, fabp7a, cx43, slc1a2b, ptgdsb.2, atp14, mt2, atp1a1b, mfge8a, ptgdsb.1, s100b, ndrg3a
218	20 hpf	19	18h-27	mesoderm	cthrc1a, rbp7b, thbs3b, angptl7, colec12, col11a1b, tmem100b, meox1, fmoda, fibina, twist1a, reck, pmp22a, tgfbi, vwde
219	20 hpf	20	18h-NA	progenitors (midbrain)	fzd10, nusap1, cdc20, tpx2, zic4, mki67, top2a, kpn2, plk1, aurka, zic2a, zic1, zic2b, eng2b, eng2a, zic3
220	20 hpf	21	18h-34	neurons	dlb, elavl3, neurod4, ebf2, myt1b, insm1a, onecut1, nhlh2, gadd45gb.1, myt1a, scrt2, srrm4, ebf3a, draxin, insm1b
221	20 hpf	22	18h-38	epidermis	cldn1, fermt1, ecrg4b, myh9a, tp63, fam49ba, padi2, mapk12a, nkx2.3, aplnra, vgll4l, cfl1l, cldni, pfn1, s10010b
222	20 hpf	23	18h-34/NA	neurons, gabaergic, glutamatergic	atp1a3a, atp1b1b, atp2b3a, snap25a, aldocb, ywhag2, cplx2l, stmn2a, sncb, gap43, scg2b, cox8b, stxbp1a, eef1a1a, gad1b
223	20 hpf	24	NA	pectoral fin	aspn, wfdc2, mxra8b, cldn11a, serpinf1, pdgfrl, ctgfb, hyal4, gsc, loxa, spon2b, fmoda, twist2, ogn, col1a2, pmp22a
224	20 hpf	25	18h-50	telencephalon (pallium, neuron)	myt1a, insm1b, celf3a, dlx2b, elavl3, foxg1a, insm1a, myt1b, vsig8a, cldnh, eomesa, dlb, neurod4, emx3, tbr1b, srrm4
225	20 hpf	26	NA	eye (epidermis)	krt15, cxl34b.11, aqp3a, gstm.3, epgn, spaca4l, cldn1, rac2, capgb, postna, pycard, caspb, col17a1b, anxa2a, hcls1
226	20 hpf	27	18h-59	epidermal ionocyte	cldnh, foxi3a, foxi3b, cldnb, cldn7b, spint2, capn8, ap1s3b, oclna, elf3, f11r.1, epcam, pou2f3, tnks1bp1
227	20 hpf	28	18h-30	pectoral fin field	tnni1b, tmem88a, gdf3, angptl6, gata5, cd151, jam2b, hand2, gata6, pcolcea, cracr2b, tnnt2a, rhag, ttn.2, nkx2.5, rdh10a
228	20 hpf	29	18h-54	rostral blood island (myeloid)	lmo2, etv2, tmem88a, dusp5, clec14a, sox7, cldn5b, tal1, mrc1a, cdh5, fli1a, yrk, she, ecscr, gpr182, plk2b, myct1a, erg
229	20 hpf	30	18h-4/42	midbrain	eng2b, eng2a, eng1b, pax2a, pax8, eng1a, pax5, fgf8a, cnpy1, her11, oc90 zic5, ism1, fzd10, pax3a, sox21a, pax7a
230	20 hpf	31	18h-24/25	hindbrain rhombomere 5/6	mafba, cryba2b, lim2.1, cx23, egr2b, hoxa3a, hoxb3a, cyp26c1.1, rnd2, cryba4, irx1b, egr2b
231	20 hpf	32	18h-47/57	periderm	anxa1c, lye, agr1, anxa1b, ppl, tgm1l4, cldne, mid1ip1a, capn9, elovl7b, evpla, hsd17b12a, spint2, stard14, ovol1
232	20 hpf	33	NA	retina (neurogenesis)	rx1, vsx2, pax6b, nusap1, kpna2, cdk1, six3b, nr2e1
233	20 hpf	34	NA	cerebellum (upper rhombic lip)	insm1a, zic2a, neurod1, eng1b, zic5, atoh1c, nfia, tubb5, oprd1b, nfixb, zbtb4, b3gnt7l, s100b, tfr1b, clybl, nebl
234	20 hpf	35	18h-34	neurons, gabaergic	inab, gng3, elavl4, hmp19, fez1, rtn1b, cnrip1a, sncb, id4, tubb5, scg3,gad2
235	20 hpf	36	18h-39	epidermis	spaca4l, cfd, mmp30, col7a1, emilin2b, arhgef25b, apoc2, cyp2aa6, ecrg4b, tmem54a, tspan33a, myh9a, igfbp2a
236	20 hpf	37	18h-56	macrophages	ccl34.1, cd74a, cd74b, fcer1gl, lgals9l1, arpc1b, mfap4, coro1a, havrc1, mhc2dab, ms4a17a.10, mpeg1.1, lcp1, ctss2.2
237	20 hpf	38	18h-50	telencephalon (pallium, neuron) glutamatergic	nrgna, bhlhe22, bhlhe23, cpne2, pcsk1nl, ak5, syt12, adcyap1r1a, gria2b, eomesa, gabrb3, neurod6a, rtn4rl2a, neurod6b, slc17a6a
238	20 hpf	39	18h-43	neural crest derived (xanthophore)	akr1b1, slc22a7a, gpr142, tmem130, slc45a2, sox10, slc2a15b, tmem243a, cax1, bscl2l, aox5, mitfa, bace2, tfap2e
239	20 hpf	40	NA	eye (epidermis)	lgals1l1, cxl34b.11, aep1, rhbg, aqp3a, epgn, entpd3, col17a1a, hcls1, itgb1b.2, hhipl2, pcolce2b, eevs, plek2
240	20 hpf	41	18h-17	hindbrain (ant. dorsal, rhombic lip)	atoh1a, olig3, olig4, msx3, zic1, atoh8, casz1, zic2b, zic4, zic2a, irx1b, msx1b, fzd10
241	20 hpf	42	18h-29	lens differentiation	foxe3, vcana, hmx4, hmx1, pitx3, aplnra, six3b, prox1a, dlx3b
242	20 hpf	43	18h-18	telencephalon	emx3, hesx1, foxg1a, noto, znf296, lhx2b, sp8a, fezf2, nog1, sp8b, fezf1, nr2e1, mki67
243	20 hpf	44	NA	retina (photoreceptor precursor cells)	rcvrn2, arr3a, rs1a, ckmt2a, opn1mw1, gngt2b, opn1sw1, opn1lw2, gnb3b, pde6h, rbp4l, rho, syt5b, crx, pde6c
244	20 hpf	45	NA	neurons, glutamatergic	elavl4, chga, prph, vim, nefmb, tubb5, entpd3, uchl1, tubb2, neflb, calb2a, sst6, nefma, islr2, isl2a, phox2bb, ppp1r1c
245	20 hpf	46	NA	retina neuroblasts (amacrine/horizontal)	hes2.2, atoh7, hes2.1, hes6, fabp7a, neurod4, insm1a, ascl1a, mki67, vsx1, her15.2, foxg1b, her4.2, six6b
246	20 hpf	47	NA	cartilage	matn1, mia, epyc, col11a2, tnxba, fgfbp2b, ptgdsa, itih1, chad, acana, emilin3a, cthrc1b, col2a1a, col9a3, col9a1a, lect1
247	20 hpf	48	18h-53	RPE differentiation	dct, pmela, tfec, wnt2, slc45a2, pmelb, tyrp1a, trpm1b, rlbp1a, sytl2b, qdpra, oca2, fabp11a
248	20 hpf	49	NA	pigment cell (iridophore)	apoda.1, gpnmb, akap12a, scn4ab, nme4, emp3b, pnp4a, rab38b, defbl1, sox10
249	20 hpf	50	NA	retina (muller glia)	tkta, ca14, pax10, vil1, hyal6, cacng5a, rlbp1a, gpr37a, cpne8, cahz, foxg1b, slc24a3, ush1c, cxalb2bb, tagapb, fabp7a
250	20 hpf	51	NA	muscle	myog, myod1, stc2b, chrna1, chrnd, trim63a, cacng1a, stac3, cav3, abraa, tmx2a, txlnbb, vwde, myf5, rbfox1l, ttn.1
251	20 hpf	52	18h-49	neurons (ganglion)	neurod1, six1b, isl2b, onecut1, tlx2, dlb, efb3a, ntrk3a, eya2, nr6a1b, msi2a, cdh6, insm1b, neurod4, six4b
252	20 hpf	53	NA	glia	soul5, apof, CFI, cp, clec3ba, steap4, slc13a4, vmo1v, slc13a2, slc22a7b.1, igfbp2a, epd
253	20 hpf	54	18h-37	floor plate	shha, loxl5b, col9a1b, shhb, foxa1, foxj1a
254	20 hpf	55	18h-54	rostral blood island (myeloid)	srgn, sox7, tnfrsf9a, epas1b, rca2.2, clic2, slco1d1, clec14a, flt1, kdrl, cdh5, ca16b, abcc2, she, myct1a, pecam1
255	20 hpf	56	18h-45	otic vesicle	bricd5, otomp, atp1a1a.4, cldna, stm, otogl, sox10, agr2
256	20 hpf	57	NA	neurons (no neurod1/neurod4) glutamatergic	camk2a, add3b, iqsec2, ccdc136a, prkcbb, raver2, ppp1r1c, grm5a, lrmp, gabrd, ccka, camk4, pvalb7, slc17a6a
257	20 hpf	58	18h-47/57	periderm	sceI, rhcga, abcb5, elf3, ponzr3, sepw2b, epdl1, plekhf1, tmem45b, apodb, abca12, stx11b.1, xkr8.2, pkhd1l1
258	20 hpf	59	18h-52	heart primordium	cmlc1, myl7, vmhc, tnnt2a, tnni1b, acta1b, fhl2a, tnnc1a, ttn.2, lft2
259	20 hpf	60	NA	muscle (fin)	rasl12, ndufa4l2a, myh11a, mylka, kcne4, pgfb, rbpms2b, angptl3, bgnb, mfap5, parvab, acta2, tagln, ednraa
260	20 hpf	61	NA	oligodendrocytes	cd226, cldnk, crp1, csrp1b, cx27.5, cx47.1, fabp2, flj13639, lim2.2, ly75, ninj2, pla1a, rsad2, ugt8
261	20 hpf	62	NA	neuromast (otic)	atp1b2b, anxa5a, otofb, cabp2b, s100a1, calml4a, gipc3, tmc2a, c5h11orf1, lhfpl5a, pvalb8, pvalb9, gpx1b
262	20 hpf	63	NA	purkinje neurons	pvalb7, nrgnb, aldoca, pcp4l1, pbxip1b, olfm1b, ca8, rtn1a, atp2b1a, itpr1b, skor1b
263	20 hpf	64	NA	RPE	rlbp1b, rpe65a, mb, dct, rgra, rdh5, fabp11b, rbp4l, mb, pmela, pmelb
264	20 hpf	65	NA	lens	crybb1, cryba4, crygn2, crygmx, cryba1l1, mipb, lim2.4, lim2.1, crygm2d10, hmx4, prox2
265	20 hpf	66	18h-55	prechordal plate/polster	ctslb, he1a, he1b, ctslb.1, mctp2b, mgp, tmprss9, slc30a8, lad1, vtcn1, sytl4, b3gnt5b, svopl, mal
266	20 hpf	67	NA	dermal bone	col10a1a, ifitm5, spp1, entpd5a, bgna, bmp8a, col5a2b, loxl4, prp
267	20 hpf	68	NA	dorsal habenula, glutamatergic	gng8, synpr, syt6b, cpne4b, NWD2, syt10, kctd12.1, slc17a6b
268	20 hpf	69	NA	cornea	fgl2a, tubb6, gyg1b, tkta, ccka, pitx1, hpdb, hgd, pitx3, pitx2, scinla
269	24 hpf	0	20h-6/30	progenitors (midbrain, optic tectum?)	pax7a, eng2b, mab21l2, dmbx1a, pax7b, otx2, mab21l1, cep112, foxn4, pax3a
270	24 hpf	1	20h-4	progenitors	dbx1a, dbx1b, her3, cyp26b1, gbx1, gfap, foxb1a, sox21a
271	24 hpf	2	20h-11	committed progenitors	gadd45gb.1, neurog1, dla, dld, neurod4, dlb, ebf2, rnf165a, srrm4, elavl3
272	24 hpf	3	NA	progenitors	NA (stmn1a, fabp7a)
273	24 hpf	4	20h-41	hindbrain (ant. dorsal, rhombic lip)	atoh1a, olig3, atoh8, olig4, msx3, meis2b, cdh6, zic2b
274	24 hpf	5	NA	dorsal dienchephalon (thalamus)	barhl2, tcf7l2, helt, dbx1a, otx1a, otx2, foxb1a, olig3, otx1b, fgfr3
275	24 hpf	6	20h-33	retina (neurogenesis)	rx1, six3b, vsx2, wfdc1, pax6b, six6b, fabp7a, crip3, tbx2b
276	24 hpf	7	20h-13	pharyngeal arch (posterior)	hoxa3a, hoxc3a, hoxb8a, hoxb5b, hoxb6a, hoxb3a, hoxb5a, hoxb7a, hoxc3a, hoxd4a, wnt11r, gfap, sp8a
277	24 hpf	8	NA	progenitors	her8a, sox3, lrrn1, gfap, her4.2, her12, mcm3, mcm4, pcna
278	24 hpf	9	20h-8/23	neurons, gabaergic (telencephalon)	elavl4, sncb, gng3, hmp19, ywhag2, stmn2b, mllt11, snap25a, rtn1b, atp6v0cb, atpv0e2, fez1, stmn2a, gad2
279	24 hpf	10	20h-7	ventral diencephalon	nkx2.1, nkx2.4b, rx3, nkx2.4a, fezf2, prdx1, shha
280	24 hpf	11	20h-10	epidermis	tnw, aqp3a, kera, spaca4l, pfn1, cldni, thy1, col28a2a
281	24 hpf	12	20h-21	neurons	dlb, myt1b, scrt1a, scrt2, onecut1, nhlh2, elavl3, ebf2, mllt11, mpp2a, efb3a, golga7ba, srrm4, draxin
282	24 hpf	13	NA	telencephalon, optic stalk (ventral diencephalon)	fezf1, vax1, sox1b, foxg1a, fezf2, cyp26c1.1, gsx2
283	24 hpf	14	NA	hinbrain rhombomere 7	hoxa3a, hoxb3a, hoxc3a, hoxd4a, olig3, gsx2, cygb1, casz1, olig4, pax3a
284	24 hpf	15	20h-14	neural crest (pharyngeal arch)	twist1a, dlx2a, ednrab, grem2b, prrx1b, fli1a, tuba8l3, twist3, barx1, snai1a, prrx1a, npb, foxc1b
285	24 hpf	16	20h-30	midbrain	eng2b, eng2a, eng1b, pax8, pax2a, eng1a, fgf8a, her12
286	24 hpf	17	20h-10	epidermis	krt96, krt97, ptgs2a, spaca4l, kera, gstm.3, tp63, cldni, thy1, dlx3b, pitx2
287	24 hpf	18	NA	epidermis	six1b, vgll4l, tfap2a, dcn, sfrp2, kera, foxi1, she, pfn1, cfl1l, krt8
288	24 hpf	19	NA	hindbrain	casz1, msx3, zic1, zic2a, irx1b, zic4, egr2b, olig3, fzd10
289	24 hpf	20	NA	pharyngeal endoderm	pax1b, foxa2, fgfrl1b, irx7, nkx2.7, hoxb1b, nkx2.3, s100t, ociad2, cldnb, cd9b
290	24 hpf	21	20h-16	ventral midbrain	tm6sf2, nkx2.2b, nkx2.9, phox2bb, nkx2.2a, sulf2b, nkx6.1, phox2a, nkx6.2, foxa
291	24 hpf	22	20h-33	retina (neurogenesis, dorsal)	fabp7a, hes2.2, ascl1a, six3b, pax6b, pax6a, neurod4, rx1, six6b, tbx2b, vsx1, hmx4, vsx2, foxg1b, nr2e1
292	24 hpf	23	20h-0	optic vesicle (ventral)	rx1, cx43, pax6b, fabp11a, six3b, rx2, wfdc1, vsx2, cyp27c1, col15a1b, foxd1
293	24 hpf	24	NA	hindbrain rhombomere 2/3	lbx1b, gsx1, pax3a, cyp26b1, phox2bb, rnd2, pax7a, sox21a, gas1b, auts2b, egr2b
294	24 hpf	25	20h-17	placode (epibranchial)	cyp26a1, foxi1, nkx2.7, nkx2.3, tlx1, tmef2a, tagln2, s100a10, cldni
295	24 hpf	26	20h-32/58	periderm	agr1, lye, cldne, ppl, capn9, anxa1b, tgm1l4, fut9d
296	24 hpf	27	NA	diencephalon (ZLI)	shha, foxa2, foxa1, barhl1a, foxa, ntn1b, ldlrad2, lmx1ba, lmx1bb, spon1b, barhl2, pitx3
297	24 hpf	28	20h-10	epidermis	lgals1l1, dlx4a, krt222, dhrs9, col7a1, ptgdsb.1, ptgdsb.2, msx2a
298	24 hpf	29	20h-19	mesoderm	fmoda, cthrc1a, cldn11a, csf1a, alx4a, foxc1a, colec12, twist1a
299	24 hpf	30	20h-12	eye (cornea), cartilage	cthrc1a, col9a3, col9a2, lect1, col9a1a, pcolcea
300	24 hpf	31	NA	pectoral fin	and1, and2, emilin2b, ecrg4a, vcana, ogn, bhlha9
301	24 hpf	32	20h-28	pectoral fin field	rhag, gata5, tmem98, jam2b, rbpms2b, colec11, tmem88a, hand2, gdf3, gata6
302	24 hpf	33	NA	placode (adenohypophyseal)	pvalb8, cldnh, sp8a, mal, six1b, cldnb, elf3, hey1, fezf1, 
303	24 hpf	34	20h-1/43	telencephalon, glutamatergic	nfia, foxg1a, emx3, eomesa, nog1, lmo1, slc1a2b, fezf2, fezf1, sox19b, znf296, emx2
304	24 hpf	35	20h-10	epidermis (progenitors)	lgals1l1, qpct, lamb4, ptgdsb.2, col7a1, ptgdsb.1, ccdc3b, igfbp2a, abi3bpb, lrata
305	24 hpf	36	20h-19	mesoderm	vwde, meox1, rbp7b, tcf15, nkx3-1, thbs4b, efemp2b, efemp2a, twist1a
306	24 hpf	37	20h-52	neurons (ganglion)	neurod1, isl2b, pvalb6, pcbp4, cdh6, tlx2, entpd1, tuba8l3, six1b, ebf3a, neurod4, msi2a, onecut1, kctd12.2
307	24 hpf	38	20h-15	neural crest (ectomesenchyme)	foxc1a, fibina, pitx3, tmem88b, foxf2a, cxcl18b, tbx1.1, six2a, pmp22a, shisa3, apln, prrx1a
308	24 hpf	39	20h-36	epidermis	rbp4, cfd, mmp30, fn1b, igfbp2a, apoeb, mvp, lum
309	24 hpf	40	20h-29	rostral blood island (myeloid)	yrk, vsg1, stab2, aqp1a.1, clec14a, cldn5b, cdh5, sox7, f13a1b, etv2, fli1a, yrk, gpr182, lmo2, etv2, mrc1a
310	24 hpf	41	20h-0	optic vesicle (ventral)	rx1, tbx2a, pax6b, wfdc1, vsx2, six3b, foxd1
311	24 hpf	42	NA	epidermis	shhb, sost, pitx2, isl2a, fgfrl1b, cxcl12b, krt18, tnc, nkx3.3, nkx2.3, nkx2.7, foxe3
312	24 hpf	43	NA	olfactory bulb (neurons, glutamatergic)	pvalb5, cldnh, vsig8a, atp2b1b, capslb, abhd2b, fstl5, lhx2a, capsla, chga, insm1a, gng13b, neurod4, efb3a, foxg1a
313	24 hpf	44	NA	diencephalon (no shh) (prethalamic progenitors)	olig2, gsx2, lhx5, foxd1, nkx2.2a, nkx2.9, ascl1a, dlx2a, nkx2.2b, cdh11, otx1a
314	24 hpf	45	20h-66	prechordal plate/polster	he1a, he1b, ctslb, ctslb.1
315	24 hpf	46	20h-39	neural crest	sox10, foxd3, ednrab, mcamb, crestin, fxyd1, mmp17b, reck, prdm12b, qdpra, nr2f5, tfap2a, cdh6
316	24 hpf	47	20h-51	muscle	atp2a1, tnni2b.1, tnnt2c, ckmb, smyhc1, aldoab, tnnc2, ttn.2, acta1a, acta1b, tnnt3a, srl, ttn.1, tnni1al, myod1, myog
317	24 hpf	48	20h-56	otic vesicle	stm, otomp, cldna, bricd5, sox10, atp1a1a.4, cahz, oc90, mb, tecta, col9a1b
318	24 hpf	49	20h-54	floor plate	loxl5b, clu, shhb, cd59, enkur, daw1, cd59, foxj1a, lcn15
319	24 hpf	50	20h-39	neural crest derived (pigment/xanthophore)	akr1b1, tmem130, slc22a7a, cx30.3, rbp4l, aox5, urah, pnp4a, slc2a15b, tmem243a, gpr143, cax1, pah, gch2, prdx1
320	24 hpf	51	20h-48/64	RPE	dct, pmela, tyrp1b, slc45a2, pmelb, rlbp1a, tyrp1a, wnt2, tfec
321	24 hpf	52	20h-27	epidermal ionocyte	atp1b1b, atp1a1a.2, ca15a, agrp, foxi3b, mal2, foxi3a, sgk2a, dmrt2a, ceacam1, sstr5, gcm2
322	24 hpf	53	20h-42	lens differentiation	cx23, cps1, foxe3, lgals2b, lim2.1, crybb1, prox2, hmx4, pitx3, cryba2a
323	24 hpf	54	NA	pigment cell (neural crest derived)	tyrp1b, dct, slc45a2, pnp4a, tyrp1a, tmem243a, pah, mitfa, tfap2e, oca2, agtrap, crestin, sox10
324	24 hpf	55	NA	notochord	cmn, col11a2, ta, loxl5b, tdgf1, col8a1a, mxr8a, hdr, gas2b, matn3b, adra2a, chadla, susd5
325	24 hpf	56	20h-59	heart primordium	myl7, cmlc1, tnnt2a, vmhc, fhl2a, tnni1b, tnnc1a, lft2, nppa, actc1a
326	24 hpf	57	NA	neutrophils	lyz, mfap4, ccl34a.4, srgn, coro1a, fcer1gl, npsn, lgals2a, arpc1b, prdx5, ltah4
327	24 hpf	58	NA	erythrocytes	hbbe3, hbae3, hbbe1.2, hbbe2, cahz, slc4a1a, blvrb
328	36 hpf	0	NA	pharyngeal arch (cartilage)	hand2, barx1, foxf2a, prrx1b, gsc, satb2, twist1b, lhx6, pmp22a, hoxa2b, dlx2a, dlx5a, dlx6a, prrx1a
329	36 hpf	1	NA	pharyneal arch	prrx1a, pmp22a, prrx1b, postnb, ccl25b, cxcl12a, lrrc17, cdh11, ms4a17a.9,loxl2b, cd248a
330	36 hpf	2	NA	pharangeal arch	dlx4a, dlx3b, dlx5a, nkx3.2, dlx4b, dlx2a, dlx6a, spon2b, fgfbp2a, bmpr1ba, foxc1b, rgmd, twist1a
331	36 hpf	3	NA	cartilage	col2a1a, matn4, lect1, col9a3, cthrc1a, col9a1a, col9a2, tgfbi, fibina, col11a2, wfdc2, pcolcea, gpx7
332	36 hpf	4	NA	progenitors	gfap, plp1a, neurog1, sox3, lipg, her8a, her12, foxb1a, ntn1a, metrn, sp8a, gbx1
333	36 hpf	5	NA	neurons (d. diencephalon, thalamus)	stmn1b, tubb5, tuba1c, dpf1, fez1, elavl4, lhx9, lhx2b, elavl3
334	36 hpf	6	NA	progenitors	NA (pcna, stmn1a)
335	36 hpf	7	NA	neurons	nell2b, rbfox1, snap25a, sncb, elavl4, onecut1, raly, olfm2a, tubb5, 
336	36 hpf	8	24h-29	mesoderm	fmoda, tnw, bhmt, cthrc1a, tfpia, col1a1a, pdgfrl, col1a2, fibina, col5a1, ca6, colec12
337	36 hpf	9	NA	retina neurogenesis	ascl1a, hes2.2, six6b, rx1, six3b, nr2e1, acbd7, fabp7a, vsx2, foxg1b, six3a, crabp2a, tjp2b, vsx1, foxn4
338	36 hpf	10	NA	midbrain (optic tectum)	tal1, zfpm2b, gata3, gata2a, sox14, lhx1a, emx2, pax7a, uncx, otx1b, uncx4.1, lhx5, elavl3, tfap2e, slc32a1
339	36 hpf	11	24h-9	neurons, gabaergic	scg2b, kctd4, egr4, syt9a, islr2, cnih2, atpv0e2, cpne2, sncb, cspg5a, lin7a, elavl4, elavl3, gad2
340	36 hpf	12	24h-19/24	hindbrain	prss35, lbx1b, plp1a, gsx2, zic1, atp1b4, zic4, gfap, gsx1, msx3, pax3a, fabp7a, slc1a3a, zic3, her8a, sox19a, hoxd4a
